                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.67046,                0.46426,                 0.9347,                0.63163,                0.70427,                0.66422,                 0.4801,                 1.0386,                 1.0963,                 1.2155,             0.00057572,             0.00057572,             0.00057572
                     75,                0.68413,                0.47458,                 0.9305,                0.51116,                0.74779,                0.61001,                0.42974,                 1.1082,                 1.3604,                 1.3021,             0.00056839,             0.00056839,             0.00056839
                     76,                0.66436,                0.46302,                0.92015,                0.61144,                0.72574,                0.65713,                0.46829,                   1.05,                 1.0886,                 1.2276,             0.00056105,             0.00056105,             0.00056105
                     77,                0.67254,                 0.4723,                0.93535,                0.55439,                0.71007,                0.63189,                0.45134,                 1.0493,                 1.1754,                 1.2274,             0.00055372,             0.00055372,             0.00055372
                     78,                0.66968,                0.46931,                0.93152,                0.60251,                 0.7441,                0.69363,                0.50105,                 1.0233,                0.96768,                 1.2264,             0.00054639,             0.00054639,             0.00054639
                     79,                0.64858,                0.44852,                 0.9244,                0.73741,                0.57477,                0.73106,                0.53493,                 1.0366,                0.94803,                  1.254,             0.00053906,             0.00053906,             0.00053906
                     80,                0.65005,                 0.4484,                0.93392,                0.57036,                0.64495,                0.65045,                0.47774,                 1.0057,                  1.291,                 1.1845,             0.00053172,             0.00053172,             0.00053172
                     81,                0.63116,                0.43088,                0.92075,                0.54205,                0.74553,                0.68828,                0.49733,                 1.0003,                 1.0191,                 1.1986,             0.00052439,             0.00052439,             0.00052439
                     82,                0.63842,                0.45092,                0.92765,                0.56899,                0.73884,                0.66767,                0.48819,                 1.0141,                 1.2582,                 1.2118,             0.00051706,             0.00051706,             0.00051706
                     83,                0.64883,                0.44944,                0.93059,                0.59103,                0.71214,                0.69381,                0.52317,                0.98575,                 1.2305,                 1.2017,             0.00050973,             0.00050973,             0.00050973
                     84,                 0.6254,                0.41553,                0.90926,                0.61299,                0.71194,                0.67713,                0.49406,                 1.0013,                 1.2585,                 1.2292,             0.00050239,             0.00050239,             0.00050239
                     85,                0.63862,                0.41839,                0.90875,                0.59828,                0.68812,                0.62426,                0.44628,                 1.0371,                 1.4395,                 1.2284,             0.00049506,             0.00049506,             0.00049506
                     86,                0.64361,                0.42979,                0.92203,                0.56066,                0.79936,                0.68484,                0.50717,                 1.0053,                 1.2739,                 1.2174,             0.00048773,             0.00048773,             0.00048773
                     87,                0.62032,                0.41061,                0.91154,                0.59047,                 0.8278,                0.71419,                0.53052,                0.97358,                 1.1861,                 1.1844,              0.0004804,              0.0004804,              0.0004804
                     88,                 0.6185,                0.41671,                0.91921,                0.52618,                0.85379,                0.66468,                0.48985,                0.99265,                 1.1602,                 1.2022,             0.00047306,             0.00047306,             0.00047306
                     89,                0.59889,                0.39598,                0.89847,                0.64306,                0.77175,                 0.7418,                0.54773,                 1.0074,                 1.0608,                 1.1966,             0.00046573,             0.00046573,             0.00046573
